{'name': 'RtkAudUService64.exe', 'pid': 12068}
{'name': 'svchost.exe', 'pid': 12120}
{'name': 'svchost.exe', 'pid': 12136}
{'name': 'svchost.exe', 'pid': 12200}
{'name': 'svchost.exe', 'pid': 12372}
{'name': 'MpDefenderCoreService.exe', 'pid': 12436}
{'name': 'MusNotifyIcon.exe', 'pid': 12632}
{'name': 'SearchApp.exe', 'pid': 13100}
{'name': 'msedgewebview2.exe', 'pid': 13508}
{'name': 'WavesSvc64.exe', 'pid': 13576}
{'name': 'WmiPrvSE.exe', 'pid': 13612}
{'name': 'dllhost.exe', 'pid': 13688}
{'name': 'conhost.exe', 'pid': 14444}
{'name': 'msedge.exe', 'pid': 14652}
{'name': 'msedgewebview2.exe', 'pid': 14840}
{'name': 'svchost.exe', 'pid': 15072}
{'name': 'dwm.exe', 'pid': 15460}
{'name': 'svchost.exe', 'pid': 15480}
{'name': 'sihost.exe', 'pid': 15492}
{'name': 'RuntimeBroker.exe', 'pid': 15656}
{'name': 'RtkAudUService64.exe', 'pid': 15664}
{'name': 'cmd.exe', 'pid': 15780}
{'name': 'RuntimeBroker.exe', 'pid': 15788}
{'name': 'fontdrvhost.exe', 'pid': 16240}
{'name': 'msedge.exe', 'pid': 16288}
{'name': 'RuntimeBroker.exe', 'pid': 16628}
{'name': 'msedge.exe', 'pid': 16820}
{'name': 'Code.exe', 'pid': 16832}
{'name': 'svchost.exe', 'pid': 16952}
{'name': 'Code.exe', 'pid': 17144}
{'name': 'Code.exe', 'pid': 17204}
{'name': 'conhost.exe', 'pid': 17324}
{'name': 'svchost.exe', 'pid': 17500}
{'name': 'RuntimeBroker.exe', 'pid': 17512}
{'name': 'Code.exe', 'pid': 17724}
{'name': 'smartscreen.exe', 'pid': 17768}
{'name': 'winlogon.exe', 'pid': 17816}
{'name': 'msedgewebview2.exe', 'pid': 18264}
